Bill+version,Notes,Score,Fiscal Impact,Lack substance?,Lacks substance explanation,Non-binding or unenforceable?,Non-binding or unenforceable explanation,Unlawful or unconstitutional?,Unlawful or unconstitutional explanation,Grows government?,Grows government explanation,Reduces accountability?,Reduces accountability explanation,Contradicts separation of powers?,Contradicts separation of powers explanation,Legal plunder?,Legal plunder explanation,Infringes on rights or liberties?,Infringes on rights or liberties explanation,Non-government alternative exists?,Non-government alternative exists explanation,Raises taxes?,Raises taxes explanation,Increases debt?,Increases debt explanation,Other objection?,Other objection explanation
D 5118,"DHEC Regulation 61-19 deals with vital statistics (birth, death, etc).",-1,,,,,,,,,,,,,,,,,,,,,,,,checked,Section 1111(B) allows any adult to submit an affidavit to DHEC certifying that they have undergone a permanent sex change and have their recorded sex on their birth certificate changed.
D 5157,This regulation adjusts fees of professional and occupational licensing boards to ensure that fees are sufficient but not excessive to cover the expenses.,-1,,,,,,,,,,,,,,,,,,,,checked,"Many occupational licenses covered under this regulation will see fee decreases, however in Regulation 10-40 licensed Soil Classifiers will see large increases of 50% to their license fees, increasing from $200 to $300. Soil Classifiers In Training will see their fees increase from $25 to $40, and renewal and reinstatement fees have similarly large increases.",,,,
D 5159,"This regulation clarifies existing safety regulations for lowcountry maritime shipping and allows the Commissioners of Pilotage to set their own fee schedule, and spend it on their expenses.",-1,,,,,,,,,,,,,,,,,,,,checked,"Rather than spell out clear and transparent pilot registration fees, with review by the legislative branch, Regulation 136-035 removes the fee schedule and allows the Commissioners of Pilotage to set their own fees.

It is unknown whether these new fees will be larger than the current schedule in the first year, but given that the commissioners are allowed under this regulation to raise the fees at any time, and indeed are incentivized to do so—it is what funds their travel funds—it will almost certainly cause low country waterway pilots to pay more in fees over time.",,,,
D 5160,"This regulation establishes fees for licenses for a variety of occupations, including LP gas dealers and podiatrists.",-1,,,,,,,,,,,,,,,,,,,,checked,"Regulation 10-20 establishes new license fees for the LP gas industry.

Regulation 10-32 raises the fee for an initial license application from $200 to $500.",,,,
D 5161,"This regulation implements new licensing, permitting and certification programs and updates existing safety regulations based on nationally recognized codes and standards.",-1,,,,,,,,,,,,,,,,,,,,checked,"Regulation 71-8302.3 appears to add new fees for those who sell or use explosives for blasting.

Regulation 71-8305.3 appears to add new fees related for those who sell fireworks, and for those who host public fireworks displays on land owned by someone else.",,,,
D 5170,This regulation adjusts fees of CPA licenses to ensure that fees are sufficient but not excessive to cover the expenses.,-1,,,,,,,,,,,,,,,,,,,,checked,"This regulation increases the annual license fee for CPAs by 44%, from $80 to $115.",,,,
H 3014,"This bill adds additional penalties for harassment, stalking, and malicious injury when the victim's race, color, creed, religion, sex, gender, age, national origin, ancestry, sexual orientation, or disability is a motivating factor.",-3,,,,,,checked,Hate crimes laws violates equal protection requirement of the 14th Amendment by elevating the harm done to some classes of victims versus others.,,,,,,,,,checked,"Hate crimes laws shift the focus away from the harm perpetrated on the victim onto the nature of the perpetrator. Enforcing these laws will unavoidably veer into policing a person's private speech, thoughts, and beliefs.",,,,,,,checked,"Section 16-3-2410(2) re-defines ""sex"" to include gay and transgender identities. The case cited is a landmark United States Supreme Court civil rights case in which the Court held that Title VII of the Civil Rights Act of 1964 protects employees against discrimination because they are gay or transgender."
H 3078,This bill repeals §1-11-26 which regulates grant funds administered by the Rural Infrastructure Authority (RIA) to public entities. The misdemeanor penalty for violation of the section is also repealed by this bill.,-1,,,,,,,,,,checked,Repealing this section will allow local government entities to co-mingle rural infrastructure grant funds and removes the penalty for using the grant funds for other than that which was specified in the grant application.,,,,,,,,,,,,,,
H 3091,This bill prohibits counties from cutting their circuit solicitor's funding.,-1,,,,,,,,,,checked,"A county may increase, but may not decrease funding - regardless of whether that funding is needed. Not to mention wasteful spending, this is the only way a county can hold a local solicitor's office accountable for their behavior. If there is guaranteed funding, there is no incentive to be frugal.",,,,,,,,,,,,,,
H 3144,This bill allows Sunday sale of alcohol after a public referendum.,-1,,,,,,,,,,checked,"The elected lawmakers' job is to make the decision, not hide behind the result of a public referendum. If it should be done, they should do it. Referendums such as this undermines our representative republic form of government.",,,,,,,,,,,,,,
